drug_name,brand_name,dosage,rating,review,activity,prescription,preg,csa,alcohol,allergy,disease_list
dexamethasone,['Decadron ; DexPak 6 DayTaperpak; Hemady'],['4 mg'],4.3,3,2,Rx,C,N,,['a fungal infection anywhere in your body'],Rheumatoid Arthritis
EC-Naprosyn,['Aleve ; Aleve Back and Muscle Pain ; Aleve Easy Open Arthritis; Aleve Liquid Gels; Anaprox-DS ;'],['500 mg'],,,2,Rx/OTC,C,N,X,"['heart disease,high blood pressure,high cholesterol, diabetes, or if you smoke', 'a heart attack, stroke, or blood clot', 'stomach ulcers or bleeding', 'asthma', 'liver or kidney disease', 'fluid retention', 'if you take aspirin to prevent heart attack or stroke']",Rheumatoid Arthritis
Flanax Pain Reliever,['Flanax'],[None],,,2,Rx/OTC,C,N,X,"['Are age 65 or olde', 'Have had stomach ulcers or bleeding problems', 'Take a blood thinning (anticoagulant) or steroid drug', 'Take other drugs containing an NSAID (aspirin, ibuprofen, naproxen, or others)', 'Have three or more alcoholic drinks every day while using this product', 'Have ever had an allergic reaction to any other pain reliever/fever reduce', 'Are about to receive heart surgery or recently received one']",Rheumatoid Arthritis
Imuran,['Azasan ; Imuran Drug classes: Antirheumatics ; Other immunosuppressants'],['50 mg'],3.8,4,2,Rx,D,N,,"['kidney disease, or akidney transplant(if you are using Imuran for rheumatoid arthritis)', 'any type of viral, bacterial, orfungal infection', 'liver disease', 'chemotherapy with medications likecyclophosphamide,chlorambucil, melphalan, busulfan, and others']",Rheumatoid Arthritis
indomethacin,['Indocin ; Indocin SR'],['50 mg'],8.3,3,2,Rx,C,N,X,"['congestiveheart failure,heart disease, high blood pressure,high cholesterol, diabetes, smoking', 'a heart attack, stroke, or blood clot', 'bleeding problems', 'stomach ulcers or bleeding', 'depression, mood changes', ""seizures, epilepsy,Parkinson's disease"", 'asthma', 'fluid retention', 'liver or kidney disease']",Rheumatoid Arthritis
infliximab,['Avsola ; Inflectra ; Ixifi ; Remicade ; Renflexis ; Zymfentra'],['100 mg'],7.5,45,2,Rx,B,N,,"['are being treated for an infection, have TB or hepatitis B, or have been in close contact with someone with TB or hepatitis B', 'have signs of an infection, such as a fever, cough, flu-like symptoms', 'have any open cuts or sores on your body', 'have cance', 'have diabetes, COPD, heart problems, liver problems, or an immune system problem', 'have a nerve-muscle disorder, such as multiple sclerosis or Guillain-Barré syndrome', 'have numbness or tingling anywhere in your body', 'live or have lived in certain parts of the country (such as the Ohio and Mississippi River valleys) where there is an increased risk of getting certain kinds of fungal infections (histoplasmosis, coccidioidomycosis, or blastomycosis) These infections may develop or become more severe if you receive infliximab If you do not know if you have lived in an area where histoplasmosis, coccidioidomycosis, or blastomycosis is common, ask your doct', 'use or have used other biologics such as anakinra, abatacept, or tocilizumab to treat the same condition', 'phototherapy for psoriasis', 'seizures', 'vaccination with BCG (Bacille Calmette-Guérin) or if you are scheduled to receive any vaccines', 'are pregnant or intending to become pregnant', 'are breastfeeding or intending to breastfeed']",Rheumatoid Arthritis
Jylamvo,['Jylamvo; Rheumatrex Dose Pack ; Trexall ; Xatmep'],[None],,,2,Rx,X,N,X,[None],Rheumatoid Arthritis
Kenalog-40,[None],['40 mg'],6.2,12,2,Rx,C,N,,"['an active or chronic infection, including tuberculosis', 'idiopathic thrombocytopenic purpura (ITP)', 'high blood pressure, heart problems, a recent heart attack', 'cataracts, glaucoma, or herpes infection of the eyes', 'a colostomy or ileostomy, or stomach surgery', 'a head injury', 'a nerve-muscle disorder, such as myasthenia gravis', 'a parasite infection that causes diarrhea (such as threadworms)', 'a previously unstable or infected joint or one you suspect is currently infected', 'a problem with your thyroid or adrenal gland', 'a peptic ulcer, diverticulitis, ulcerative colitis', 'kidney of liver disease', 'low bone mineral density']",Rheumatoid Arthritis
Lofena,['Cambia ; Cataflam ; Lofena; Zipsor ; Zorvolex'],[None],,,2,Rx,D,N,X,"['heart disease,high blood pressure', 'ulcers or bleeding in your stomach', 'asthma', 'liver or kidney disease', 'if you smoke']",Rheumatoid Arthritis
Medrol,['Medrol; Medrol Dosepak ; MethylPREDNISolone Dose Pack'],['32 mg'],7.0,1,2,Rx,C,N,,['a fungal infection anywhere in your body'],Rheumatoid Arthritis
Medrol Dosepak,['Medrol ; Medrol Dosepak; MethylPREDNISolone Dose Pack'],[None],9.0,1,2,Rx,C,N,,['a fungal infection anywhere in your body'],Rheumatoid Arthritis
MethylPREDNISolone Dose Pack,['Medrol ; Medrol Dosepak ; MethylPREDNISolone Dose Pack'],[None],,,2,Rx,C,N,,['a fungal infection anywhere in your body'],Rheumatoid Arthritis
Midol Extended Relief,['Aleve ; Aleve Back and Muscle Pain ; Aleve Easy Open Arthritis; Aleve Liquid Gels; Anaprox-DS ;'],['220 mg'],,,2,Rx/OTC,C,N,X,"['heart disease,high blood pressure,high cholesterol, diabetes, or if you smoke', 'a heart attack, stroke, or blood clot', 'stomach ulcers or bleeding', 'asthma', 'liver or kidney disease', 'fluid retention', 'if you take aspirin to prevent heart attack or stroke']",Rheumatoid Arthritis
