drug_name,brand_name,dosage_mg,rating,review,activity,prescription,preg,csa,alcohol,allergy,disease_list,allergy_cleaned,disease_list_cleaned
tiagabine,gabitril,2.0,10.0,3.0,3.0,rx,c,n,x,"'a confirmed diagnosis ofepilepsy', 'a history of a seizure that did not stop (also calledstatus epilepticus)', 'liver disease', 'a history of abnormal brain wave test (eeg)', 'a history ofdepression,mood disorder, or suicidal thoughts or actions'",bipolar disorder,"confirmed diagnosis ofepilepsy , history seizure stop also calledstatus epilepticus , liver disease , history abnormal brain wave test eeg , history ofdepression , mood disorder , suicidal thoughts actions",bipolar disorder
abilify mycite,abilify mycite maintenance kit; abilify mycite starter kit,15.0,0.0,0.0,2.0,rx,c,n,x,"'heart problems or a stroke', 'high orlow blood pressure', 'diabetes (in you or a family member)', 'low white blood cell (wbc) counts', 'seizures', 'trouble swallowing'",bipolar disorder,"heart problems stroke , high orlow blood pressure , diabetes family member , low white blood cell wbc counts , seizures , trouble swallowing",bipolar disorder
equetro,common,200.0,6.0,5.0,2.0,rx,d,n,x,"'heart problems', 'liver or kidney disease', 'glaucoma', 'porphyria', 'depression,mood disorde', 'suicidal thoughts or actions'",bipolar disorder,"heart problems , liver kidney disease , glaucoma , porphyria , depression , mood disorde , suicidal thoughts actions",bipolar disorder
iloperidone,fanapt,6.0,8.9,12.0,2.0,rx,c,n,x,"'trouble swallowing', 'long qt syndrome(in you or a family member)', 'a seizure', 'diabetes, or risk factors such as beingoverweightor having a family history of diabetes', 'breast cance', 'high cholesterolor triglycerides', 'an electrolyte imbalance (such as low levels of potassium or magnesium in your blood)', 'low bone mineral density', 'liver disease'",bipolar disorder,"trouble swallowing , long qt syndromein family member , seizure , diabetes , risk factors beingoverweightor family history diabetes , breast cance , high cholesterolor triglycerides , electrolyte imbalance low levels potassium magnesium blood , low bone mineral density , liver disease",bipolar disorder
lamictal cd,lamictal ; lamictal cd; lamictal odt ; lamictal xr,25.0,2.0,1.0,2.0,rx,c,n,x,none,bipolar disorder,none,bipolar disorder
paliperidone,invega,9.0,4.9,58.0,2.0,rx,c,n,x,"'heart problems, or aheart attack', 'long qt syndrome(in you or a family member)', 'high orlow blood pressure, or fainting spells', 'low white blood cell (wbc) counts', 'a serious neurologic disorder caused by taking an antipsychotic medicine', 'uncontrolled muscle movements in your face', 'a stomach or intestinal disorde', 'liver or kidney disease', 'seizures or epilepsy', 'an electrolyte imbalance (such aslow potassiumor magnesium levels in your blood)', 'diabetes (paliperidone may raise your blood sugar)', 'breast cance'",bipolar disorder,"heart problems , aheart attack , long qt syndromein family member , high orlow blood pressure , fainting spells , low white blood cell wbc counts , serious neurologic disorder caused taking antipsychotic medicine , uncontrolled muscle movements face , stomach intestinal disorde , liver kidney disease , seizures epilepsy , electrolyte imbalance aslow potassiumor magnesium levels blood , diabetes paliperidone may raise blood sugar , breast cance",bipolar disorder
perphenazine,trilafon,4.0,7.2,13.0,2.0,rx,n,n,x,"'liver disease', 'brain damage', 'bone marrow depression', 'a blood cell disorder (such as low platelets or low red or white blood cell counts)', 'if you are also using large amounts of alcohol or medicines that make you sleepy'",bipolar disorder,"liver disease , brain damage , bone marrow depression , blood cell disorder low platelets low red white blood cell counts , also using large amounts alcohol medicines make sleepy",bipolar disorder
risperdal consta,common,0.0,2.5,4.0,2.0,rx,c,n,x,"'heart diseaseor aheart attack', 'dizziness, rapid heartbeats, fainting', 'a stroke, a tia or ""mini-stroke""', ""parkinson's diseaseor a type of dementia calledlewy body dementia"", 'trouble swallowing', 'low white blood cell (wbc) counts', 'a severe nervous system reaction while using medicine to treatanxiety, mood disorders, or mental illness such as schizophrenia', 'diabetes (in you or a family member)', 'high cholesterolor triglycerides', 'uncontrolled muscle movements in your face (chewing, lip smacking, frowning, tongue movement, blinking or eye movement)', 'a seizure', 'low bone mineral density', 'breast cance', 'dehydration', 'liver or kidney disease'",bipolar disorder,"heart diseaseor aheart attack , dizziness , rapid heartbeats , fainting , stroke , tia ministroke , parkinsons diseaseor type dementia calledlewy body dementia , trouble swallowing , low white blood cell wbc counts , severe nervous system reaction using medicine treatanxiety , mood disorders , mental illness schizophrenia , diabetes family member , high cholesterolor triglycerides , uncontrolled muscle movements face chewing , lip smacking , frowning , tongue movement , blinking eye movement , seizure , low bone mineral density , breast cance , dehydration , liver kidney disease",bipolar disorder
subvenite,lamictal ; lamictal odt ; lamictal xr ; subvenite,0.0,0.0,0.0,2.0,rx,c,n,x,"'a rash or allergic reaction after taking another seizure medication', 'kidney orliver disease', 'heart problems such asheart blockor irregular heartbeats', 'depression, suicidal thoughts or actions', 'meningitis(inflammation of the tissue that covers the brain and spinal cord) after taking subvenite'",bipolar disorder,"rash allergic reaction taking another seizure medication , kidney orliver disease , heart problems asheart blockor irregular heartbeats , depression , suicidal thoughts actions , meningitisinflammation tissue covers brain spinal cord taking subvenite",bipolar disorder
verapamil,calan ; calan sr ; isoptin sr ; verelan ; verelan pm ;,120.0,0.0,0.0,2.0,rx,c,n,x,"'""sick sinus syndrome"" or ""av block"" (unless you have a pacemaker)', 'verylow blood pressure', 'if your heart cannot pump blood properly'",bipolar disorder,"sick sinus syndrome av block unless pacemaker , verylow blood pressure , heart pump blood properly",bipolar disorder
